epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.76579,1.96808,3.37949,1.76025,0.02267,0.57263,0.03609,0.01571,1.84652,3.20534,1.70892,4e-05,4e-05,4e-05
2,4.30382,1.82544,3.29426,1.58662,0.02675,0.67579,0.07065,0.03116,1.6229,3.13556,1.49052,9.901e-05,9.901e-05,9.901e-05
3,5.81413,1.51639,3.13765,1.34193,0.03183,0.80421,0.13104,0.06327,1.41731,3.08733,1.32022,0.000156832,0.000156832,0.000156832
4,7.33571,1.53395,2.8443,1.30009,0.03517,0.88842,0.36033,0.17201,1.48039,2.9066,1.22999,0.000213466,0.000213466,0.000213466
5,8.82582,1.70114,2.56406,1.27588,0.03683,0.93053,0.41462,0.18748,1.51575,2.84995,1.21317,0.000268912,0.000268912,0.000268912
6,10.3104,1.57767,2.28324,1.24961,0.03658,0.92421,0.4362,0.2083,1.47433,2.81662,1.20443,0.00032317,0.00032317,0.00032317
7,11.7825,1.58957,2.08806,1.20324,0.03575,0.90316,0.42287,0.19875,1.45696,2.781,1.20205,0.00037624,0.00037624,0.00037624
8,13.2667,1.51176,1.78738,1.20883,0.03408,0.86105,0.42752,0.20182,1.51112,2.76596,1.23732,0.000428122,0.000428122,0.000428122
9,14.737,1.56208,1.75784,1.22138,0.05258,0.69474,0.37651,0.16254,1.59455,2.71275,1.26612,0.000478816,0.000478816,0.000478816
10,16.1986,1.55096,1.48501,1.2111,0.73976,0.22142,0.40159,0.19337,1.50326,2.61421,1.2034,0.000528322,0.000528322,0.000528322
11,17.672,1.55523,1.52252,1.24561,0.6451,0.23368,0.32146,0.14782,1.45361,2.68786,1.25663,0.00057664,0.00057664,0.00057664
12,19.1396,1.5615,1.38112,1.23756,0.62661,0.24024,0.34369,0.17506,1.43203,2.62062,1.22874,0.00062377,0.00062377,0.00062377
13,20.5941,1.3846,1.30074,1.18608,0.64831,0.24421,0.30707,0.12511,1.53562,2.79344,1.33335,0.000669712,0.000669712,0.000669712
14,22.0419,1.37149,1.14501,1.16694,0.65819,0.26947,0.3218,0.12717,1.58739,2.76774,1.37203,0.000714466,0.000714466,0.000714466
15,23.5263,1.40012,1.33137,1.22126,0.70592,0.29311,0.36574,0.16961,1.54896,2.55459,1.31275,0.000758032,0.000758032,0.000758032
16,24.9807,1.37489,1.24136,1.22058,0.76068,0.30111,0.38413,0.16645,1.53302,2.5363,1.31033,0.00080041,0.00080041,0.00080041
17,26.4323,1.31334,1.17136,1.1917,0.85019,0.24842,0.41039,0.18501,1.5298,2.55906,1.33064,0.0008416,0.0008416,0.0008416
18,27.889,1.49929,1.23861,1.2512,0.88889,0.22737,0.43501,0.20402,1.43869,2.51017,1.27856,0.000881602,0.000881602,0.000881602
19,29.337,1.3345,1.12581,1.17482,0.92418,0.2566,0.49,0.26591,1.34207,2.37816,1.20248,0.000920416,0.000920416,0.000920416
20,30.8152,1.40477,1.14706,1.17631,0.54112,0.24211,0.33108,0.14981,1.41827,2.56072,1.29591,0.000958042,0.000958042,0.000958042
